epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,112.58,0.80104,1.24219,1.14048,0.70523,0.66849,0.85545,0.61336,1.70158,1.30391,1.3981,2.35417e-05,2.35417e-05,2.35417e-05
29,116.197,0.99731,1.5277,1.27174,0.70067,0.67247,0.85551,0.61082,1.67036,1.31113,1.37777,2.40837e-05,2.40837e-05,2.40837e-05
30,119.254,1.26558,2.35033,1.59809,0.70067,0.67247,0.85551,0.61082,1.67036,1.31113,1.37777,2.46022e-05,2.46022e-05,2.46022e-05
31,122.635,0.97958,1.43385,1.29405,0.69189,0.66667,0.85204,0.60885,1.68075,1.34786,1.38372,2.50971e-05,2.50971e-05,2.50971e-05
32,125.839,0.81017,1.26108,1.21398,0.69189,0.66667,0.85204,0.60885,1.68075,1.34786,1.38372,2.55685e-05,2.55685e-05,2.55685e-05
33,129.208,0.78152,1.32016,1.34259,0.67239,0.68912,0.85241,0.60751,1.66623,1.37922,1.37982,2.60163e-05,2.60163e-05,2.60163e-05
34,132.218,1.05735,1.25206,1.31047,0.67239,0.68912,0.85241,0.60751,1.66623,1.37922,1.37982,2.64405e-05,2.64405e-05,2.64405e-05
35,135.585,0.8871,2.16562,1.30323,0.66428,0.7,0.85261,0.59108,1.68122,1.41364,1.38795,2.68412e-05,2.68412e-05,2.68412e-05
36,139.225,0.96213,1.47802,1.20111,0.66428,0.7,0.85261,0.59108,1.68122,1.41364,1.38795,2.72183e-05,2.72183e-05,2.72183e-05
37,142.839,0.78378,1.11496,1.17299,0.647,0.7,0.8524,0.5836,1.64947,1.44898,1.37015,2.75718e-05,2.75718e-05,2.75718e-05
38,146.039,0.45775,0.7042,0.9692,0.647,0.7,0.8524,0.5836,1.64947,1.44898,1.37015,2.79018e-05,2.79018e-05,2.79018e-05
39,149.68,0.64923,0.93329,1.0218,0.67396,0.69075,0.85257,0.56179,1.62507,1.48065,1.36487,2.82082e-05,2.82082e-05,2.82082e-05
40,153.885,0.80208,0.83815,1.16674,0.67396,0.69075,0.85257,0.56179,1.62507,1.48065,1.36487,2.84911e-05,2.84911e-05,2.84911e-05
41,159.2,0.75781,0.92681,1.06123,0.68199,0.66534,0.76929,0.48791,1.59517,1.49106,1.35671,2.87504e-05,2.87504e-05,2.87504e-05
42,164.059,0.88059,1.88464,1.27759,0.68199,0.66534,0.76929,0.48791,1.59517,1.49106,1.35671,2.89861e-05,2.89861e-05,2.89861e-05
43,167.632,0.84661,1.22156,1.22832,0.67829,0.65,0.76233,0.47306,1.62188,1.53053,1.38462,2.91983e-05,2.91983e-05,2.91983e-05
44,170.575,1.07447,0.98612,1.45165,0.67829,0.65,0.76233,0.47306,1.62188,1.53053,1.38462,2.93869e-05,2.93869e-05,2.93869e-05
45,173.665,0.61305,0.92571,0.99468,0.6889,0.65,0.76251,0.47229,1.6097,1.54853,1.38002,2.9552e-05,2.9552e-05,2.9552e-05
46,176.631,0.81965,0.99642,1.26952,0.6889,0.65,0.76251,0.47229,1.6097,1.54853,1.38002,2.96935e-05,2.96935e-05,2.96935e-05
47,179.686,0.88555,1.46372,1.36124,0.73626,0.65,0.7323,0.43907,1.62327,1.60378,1.38728,2.98114e-05,2.98114e-05,2.98114e-05
48,182.853,0.78781,1.63558,1.17236,0.73626,0.65,0.7323,0.43907,1.62327,1.60378,1.38728,2.99058e-05,2.99058e-05,2.99058e-05
49,185.953,0.67238,0.7227,1.24502,0.684,0.65022,0.70529,0.41424,1.62459,1.62315,1.38831,2.99766e-05,2.99766e-05,2.99766e-05
50,189.039,0.80366,0.81142,1.29484,0.684,0.65022,0.70529,0.41424,1.62459,1.62315,1.38831,3.00238e-05,3.00238e-05,3.00238e-05
51,192.248,0.85841,0.83972,1.15568,0.65902,0.67482,0.69821,0.40628,1.59253,1.63596,1.38099,3.00475e-05,3.00475e-05,3.00475e-05
52,195.18,0.97358,0.96791,1.34756,0.65902,0.67482,0.69821,0.40628,1.59253,1.63596,1.38099,3.00476e-05,3.00476e-05,3.00476e-05
53,198.381,0.64652,0.70069,1.17895,0.65902,0.67482,0.69821,0.40628,1.59253,1.63596,1.38099,3.00242e-05,3.00242e-05,3.00242e-05
54,201.449,0.78475,0.9028,1.23206,0.69094,0.67065,0.69636,0.4082,1.57715,1.67683,1.38142,2.99772e-05,2.99772e-05,2.99772e-05
55,204.617,0.80039,0.95363,1.12098,0.69094,0.67065,0.69636,0.4082,1.57715,1.67683,1.38142,2.99066e-05,2.99066e-05,2.99066e-05
56,207.359,1.0972,1.4451,1.5874,0.69094,0.67065,0.69636,0.4082,1.57715,1.67683,1.38142,2.98125e-05,2.98125e-05,2.98125e-05
57,210.224,0.94392,1.49952,1.37434,0.72286,0.50385,0.69284,0.38717,1.5855,1.70833,1.39151,2.96948e-05,2.96948e-05,2.96948e-05
58,213.088,0.86448,1.45475,1.26642,0.72286,0.50385,0.69284,0.38717,1.5855,1.70833,1.39151,2.95535e-05,2.95535e-05,2.95535e-05
59,216.026,0.78222,0.82818,1.15415,0.72286,0.50385,0.69284,0.38717,1.5855,1.70833,1.39151,2.93887e-05,2.93887e-05,2.93887e-05
60,219.016,0.99704,0.77774,1.54598,0.85594,0.47904,0.67795,0.37421,1.61036,1.77551,1.40769,2.92003e-05,2.92003e-05,2.92003e-05
61,221.893,0.63461,0.68086,1.06306,0.85594,0.47904,0.67795,0.37421,1.61036,1.77551,1.40769,2.89884e-05,2.89884e-05,2.89884e-05
62,224.895,0.70134,0.89317,1.04548,0.85594,0.47904,0.67795,0.37421,1.61036,1.77551,1.40769,2.87529e-05,2.87529e-05,2.87529e-05
63,227.976,0.77029,0.82381,1.15437,0.8556,0.47673,0.67796,0.37419,1.64101,1.85632,1.42339,2.84938e-05,2.84938e-05,2.84938e-05
64,230.876,0.62539,0.65316,1.06666,0.8556,0.47673,0.67796,0.37419,1.64101,1.85632,1.42339,2.82112e-05,2.82112e-05,2.82112e-05
65,233.76,0.66125,0.68651,1.2165,0.8556,0.47673,0.67796,0.37419,1.64101,1.85632,1.42339,2.7905e-05,2.7905e-05,2.7905e-05
66,237.134,0.68414,0.9162,1.08087,0.85183,0.47721,0.67713,0.37597,1.70784,1.91316,1.44725,2.75753e-05,2.75753e-05,2.75753e-05
67,240.368,0.73685,1.11138,1.10207,0.85183,0.47721,0.67713,0.37597,1.70784,1.91316,1.44725,2.7222e-05,2.7222e-05,2.7222e-05
68,243.238,1.04176,1.77703,1.40599,0.85183,0.47721,0.67713,0.37597,1.70784,1.91316,1.44725,2.68451e-05,2.68451e-05,2.68451e-05
69,246.142,0.64153,1.10079,1.12479,0.84135,0.48623,0.5678,0.28832,1.65203,1.95195,1.41874,2.64447e-05,2.64447e-05,2.64447e-05
70,249.061,0.9783,0.86519,1.42989,0.84135,0.48623,0.5678,0.28832,1.65203,1.95195,1.41874,2.60207e-05,2.60207e-05,2.60207e-05
71,251.905,0.94774,1.28741,1.31547,0.84135,0.48623,0.5678,0.28832,1.65203,1.95195,1.41874,2.55731e-05,2.55731e-05,2.55731e-05
72,254.73,0.59477,0.63848,1.07496,0.84016,0.48535,0.54674,0.27274,1.71884,1.99991,1.44163,2.5102e-05,2.5102e-05,2.5102e-05
73,257.548,0.69028,0.90751,1.04462,0.84016,0.48535,0.54674,0.27274,1.71884,1.99991,1.44163,2.46073e-05,2.46073e-05,2.46073e-05
74,260.507,0.7206,0.59601,1.21712,0.84016,0.48535,0.54674,0.27274,1.71884,1.99991,1.44163,2.40891e-05,2.40891e-05,2.40891e-05
75,263.407,0.72987,0.55288,1.14076,0.83999,0.48269,0.5471,0.26973,1.76654,1.99503,1.46007,2.35472e-05,2.35472e-05,2.35472e-05
76,266.192,0.63612,0.7331,1.12922,0.83999,0.48269,0.5471,0.26973,1.76654,1.99503,1.46007,2.29819e-05,2.29819e-05,2.29819e-05
77,268.994,0.67994,0.65821,1.11157,0.83999,0.48269,0.5471,0.26973,1.76654,1.99503,1.46007,2.23929e-05,2.23929e-05,2.23929e-05
78,271.844,0.87597,1.00459,1.18692,0.83342,0.48828,0.54411,0.26801,1.73181,2.01227,1.44547,2.17805e-05,2.17805e-05,2.17805e-05
79,274.6,0.58915,0.74827,1.08417,0.83342,0.48828,0.54411,0.26801,1.73181,2.01227,1.44547,2.11444e-05,2.11444e-05,2.11444e-05
80,277.384,0.70252,0.73336,1.16328,0.83342,0.48828,0.54411,0.26801,1.73181,2.01227,1.44547,2.04848e-05,2.04848e-05,2.04848e-05
81,280.208,0.51086,0.50322,0.97365,0.84214,0.48024,0.53431,0.26591,1.7656,2.0487,1.47049,1.98016e-05,1.98016e-05,1.98016e-05
82,282.973,0.80793,0.67023,1.1438,0.84214,0.48024,0.53431,0.26591,1.7656,2.0487,1.47049,1.90949e-05,1.90949e-05,1.90949e-05
83,285.696,0.76774,0.82231,1.19782,0.84214,0.48024,0.53431,0.26591,1.7656,2.0487,1.47049,1.83646e-05,1.83646e-05,1.83646e-05
84,288.655,0.78349,0.56776,1.20428,0.84027,0.48437,0.54018,0.26655,1.82165,2.07646,1.49904,1.76107e-05,1.76107e-05,1.76107e-05
85,291.689,0.56861,0.73396,1.10945,0.84027,0.48437,0.54018,0.26655,1.82165,2.07646,1.49904,1.68333e-05,1.68333e-05,1.68333e-05
86,294.595,0.73114,0.66492,1.09845,0.84027,0.48437,0.54018,0.26655,1.82165,2.07646,1.49904,1.60323e-05,1.60323e-05,1.60323e-05
87,297.357,0.7505,0.78857,1.05096,0.84027,0.48437,0.54018,0.26655,1.82165,2.07646,1.49904,1.52077e-05,1.52077e-05,1.52077e-05
88,300.252,0.79104,0.86478,1.38082,0.83881,0.48371,0.53431,0.28465,1.8309,2.06958,1.50124,1.43596e-05,1.43596e-05,1.43596e-05
89,303.021,0.99578,0.93288,1.48275,0.83881,0.48371,0.53431,0.28465,1.8309,2.06958,1.50124,1.34879e-05,1.34879e-05,1.34879e-05
90,305.853,0.65449,0.63977,1.01335,0.83881,0.48371,0.53431,0.28465,1.8309,2.06958,1.50124,1.25927e-05,1.25927e-05,1.25927e-05
91,308.72,0.46066,0.51806,0.88992,0.83881,0.48371,0.53431,0.28465,1.8309,2.06958,1.50124,1.16739e-05,1.16739e-05,1.16739e-05
92,311.58,0.71405,0.70218,0.99517,0.83581,0.48505,0.53533,0.27779,1.82819,2.03029,1.48348,1.07315e-05,1.07315e-05,1.07315e-05
93,314.486,0.47621,0.4581,0.98593,0.83581,0.48505,0.53533,0.27779,1.82819,2.03029,1.48348,9.76562e-06,9.76562e-06,9.76562e-06
94,317.229,0.54492,0.43529,0.88582,0.83581,0.48505,0.53533,0.27779,1.82819,2.03029,1.48348,8.77613e-06,8.77613e-06,8.77613e-06
95,320.026,0.43583,0.45237,0.89794,0.83581,0.48505,0.53533,0.27779,1.82819,2.03029,1.48348,7.76308e-06,7.76308e-06,7.76308e-06
96,322.831,0.43879,0.50876,0.96108,0.84002,0.4646,0.55513,0.30479,1.74821,1.95482,1.43708,6.72648e-06,6.72648e-06,6.72648e-06
97,325.605,0.68934,0.60711,1.04865,0.84002,0.4646,0.55513,0.30479,1.74821,1.95482,1.43708,5.6663e-06,5.6663e-06,5.6663e-06
98,328.361,0.51718,0.48805,0.90963,0.84002,0.4646,0.55513,0.30479,1.74821,1.95482,1.43708,4.58257e-06,4.58257e-06,4.58257e-06
99,331.115,0.47512,0.46229,0.90908,0.84002,0.4646,0.55513,0.30479,1.74821,1.95482,1.43708,3.47528e-06,3.47528e-06,3.47528e-06
100,333.949,0.55749,0.4925,1.0045,0.55956,0.5049,0.60749,0.34286,1.70094,1.87368,1.4089,2.34442e-06,2.34442e-06,2.34442e-06
